"Dependents","LoanAmount","Loan_Amount_Term","Credit_History"
0,124,360,1
1,128,360,1
0,66,360,1
0,120,360,1
0,141,360,1
2,267,360,1
0,95,360,1
3,158,360,0
2,168,360,1
1,349,360,1
2,70,360,1
2,109,360,1
2,200,360,1
0,114,360,1
2,17,120,1
0,125,360,1
1,100,240,1
0,76,360,0
0,133,360,1
0,115,360,1
0,104,360,0
1,315,360,1
0,116,360,0
2,112,360,0
1,151,360,1
0,191,360,1
0,122,360,1
2,110,360,1
0,35,360,1
2,120,360,1
1,201,360,1
0,74,360,1
1,106,360,1
0,114,360,1
3,320,360,1
0,124,360,1
0,100,360,0
0,144,360,1
0,184,360,1
0,110,360,1
0,80,360,1
0,47,360,1
0,75,360,1
0,134,360,1
0,96,360,1
0,88,360,1
1,44,360,1
0,144,360,1
0,120,360,0
0,144,360,1
0,100,360,1
0,120,360,1
0,112,360,1
2,134,360,1
1,286,360,0
2,97,360,1
0,96,360,1
0,135,360,1
1,180,360,1
2,144,360,1
0,120,360,1
3,99,360,1
0,165,180,0
1,230,360,0
0,116,360,0
0,258,360,1
0,126,180,0
1,312,360,1
3,125,60,1
0,136,360,0
0,172,360,1
2,97,360,1
0,81,300,1
3,95,360,0
3,187,360,1
0,113,480,1
0,176,360,1
1,110,360,1
3,180,300,0
3,130,360,1
0,111,360,1
1,100,360,1
2,167,360,1
0,265,360,1
1,50,240,1
0,136,360,1
2,99,360,1
0,104,360,1
0,210,360,1
0,175,360,1
0,131,360,1
2,188,180,1
2,81,360,1
0,122,360,1
0,25,120,1
0,65,360,1
0,137,360,1
0,50,360,1
0,115,180,1
0,131,360,1
2,133,180,1
0,151,360,1
2,230,360,1
0,65,360,1
0,160,360,1
1,100,360,1
2,225,360,1
0,120,360,1
2,216,360,0
3,94,480,1
0,136,360,1
0,139,360,1
0,152,360,0
1,100,360,1
0,118,360,1
1,185,180,1
0,154,360,1
1,85,360,1
0,175,360,1
0,259,360,1
2,180,360,1
0,44,360,1
0,137,360,0
2,81,360,1
0,194,360,1
0,93,360,0
3,370,360,1
0,95,360,1
1,160,180,0
0,182,360,1
0,650,480,1
0,74,360,1
0,70,360,1
0,25,120,1
0,102,360,1
3,290,360,1
0,84,360,1
2,88,360,1
0,242,360,0
2,129,360,1
2,185,360,1
0,168,360,1
0,175,180,1
0,122,360,1
2,187,180,1
0,100,360,1
2,70,360,1
1,30,360,1
0,225,360,1
0,125,360,1
0,118,360,0
0,152,360,1
0,244,360,1
2,113,360,1
0,50,360,1
3,600,180,0
1,160,360,1
1,187,360,1
0,120,360,1
0,255,360,1
0,98,360,1
0,275,360,1
1,121,360,0
2,158,360,1
0,75,180,1
0,182,360,1
0,112,360,1
0,129,360,1
0,63,480,0
2,200,360,1
0,95,360,1
3,700,300,1
3,81,180,1
0,187,360,1
0,87,360,1
0,116,360,1
2,101,360,1
3,495,360,0
1,116,360,1
0,102,480,0
1,180,360,0
0,67,360,1
0,73,180,1
1,260,360,1
0,108,360,1
0,120,360,1
1,66,300,0
0,58,360,1
0,168,360,1
0,188,180,1
0,48,360,1
0,164,360,1
0,160,360,1
0,76,360,1
0,120,360,1
1,170,360,1
0,187,360,1
0,120,360,1
0,113,360,1
0,83,360,1
1,90,360,1
2,166,360,0
3,113,180,1
1,135,360,1
2,124,360,1
0,120,360,1
0,80,360,1
0,55,360,1
0,59,360,1
0,127,360,1
0,214,360,1
3,128,360,0
1,240,360,1
3,130,360,1
0,137,360,1
3,100,360,1
0,135,360,1
0,131,360,1
2,72,360,0
2,127,360,1
0,60,360,0
2,116,360,1
0,144,360,1
0,175,360,1
0,128,360,1
0,170,360,1
0,138,360,1
